Date : 2023-04-22 19:33:31
Directory : c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut
Total : 230 files,  47599 codes, 11976 comments, 10156 blanks, all 69731 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| Assets\AstarPathfindingProject\ExampleScenes                                                                                                                           |         10 |        482 |        147 |        133 |        762 |
| Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural                                                                                                      |          1 |        175 |         52 |         55 |        282 |
| Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts                                                                                                            |          7 |        251 |         95 |         62 |        408 |
| Assets\AstarPathfindingProject\ExampleScenes\Materials                                                                                                                 |          2 |         56 |          0 |         16 |         72 |
| Assets\AstarPathfindingProject\Generators                                                                                                                              |         18 |      4,695 |      2,281 |      1,315 |      8,291 |
| Assets\AstarPathfindingProject\Generators (Files)                                                                                                                      |          6 |      2,725 |      1,638 |        817 |      5,180 |
| Assets\AstarPathfindingProject\Generators\NodeClasses                                                                                                                  |          4 |        844 |        361 |        254 |      1,459 |
| Assets\AstarPathfindingProject\Generators\Utilities                                                                                                                    |          8 |      1,126 |        282 |        244 |      1,652 |
| Assets\AstarPathfindingProject\Legacy                                                                                                                                  |          6 |        163 |        132 |         67 |        362 |
| Assets\AstarPathfindingProject\Legacy (Files)                                                                                                                          |          2 |        163 |        120 |         59 |        342 |
| Assets\AstarPathfindingProject\Legacy\Editor                                                                                                                           |          4 |          0 |         12 |          8 |         20 |
| Assets\AstarPathfindingProject\Modifiers                                                                                                                               |          6 |        713 |        352 |        202 |      1,267 |
| Assets\AstarPathfindingProject\Navmesh                                                                                                                                 |          2 |         87 |         44 |         20 |        151 |
| Assets\AstarPathfindingProject\PackageTools                                                                                                                            |          6 |        438 |         64 |        100 |        602 |
| Assets\AstarPathfindingProject\PackageTools (Files)                                                                                                                    |          3 |         42 |         13 |         14 |         69 |
| Assets\AstarPathfindingProject\PackageTools\Editor                                                                                                                     |          3 |        396 |         51 |         86 |        533 |
| Assets\AstarPathfindingProject\Pathfinders                                                                                                                             |          1 |        390 |        259 |        108 |        757 |
| Assets\AstarPathfindingProject\TurnBased                                                                                                                               |          2 |        129 |         79 |         32 |        240 |
| Assets\AstarPathfindingProject\Utilities                                                                                                                               |         14 |      1,779 |        795 |        456 |      3,030 |
| Assets\Prefab                                                                                                                                                          |          8 |      1,309 |        555 |        226 |      2,090 |
| Assets\Prefab\Plugins                                                                                                                                                  |          8 |      1,309 |        555 |        226 |      2,090 |
| Assets\Prefab\Plugins\Demigiant                                                                                                                                        |          8 |      1,309 |        555 |        226 |      2,090 |
| Assets\Prefab\Plugins\Demigiant\DOTween                                                                                                                                |          8 |      1,309 |        555 |        226 |      2,090 |
| Assets\Prefab\Plugins\Demigiant\DOTween\Modules                                                                                                                        |          8 |      1,309 |        555 |        226 |      2,090 |
| Assets\Script                                                                                                                                                          |         25 |      1,352 |         72 |        406 |      1,830 |
| Assets\Script (Files)                                                                                                                                                  |          6 |        194 |          7 |         73 |        274 |
| Assets\Script\Items                                                                                                                                                    |          6 |        379 |         25 |         98 |        502 |
| Assets\Script\Player                                                                                                                                                   |         10 |        516 |         33 |        137 |        686 |
| Assets\Script\boss                                                                                                                                                     |          3 |        263 |          7 |         98 |        368 |
| Assets\TextMesh Pro                                                                                                                                                    |         52 |      5,502 |        844 |      1,839 |      8,185 |
| Assets\TextMesh Pro\Examples & Extras                                                                                                                                  |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Examples & Extras\Scripts                                                                                                                          |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Shaders                                                                                                                                            |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                                                                            |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                                                                               |          2 |        576 |          0 |          2 |        578 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                                                                               | language  | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs                      | C#        |         26 |         15 |          5 |         46 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\Patrol.cs                                   | C#        |         32 |         16 |         12 |         60 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\CHANGELOG.md                                          | Markdown  |      1,894 |          0 |        105 |      1,999 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIBase.cs                                     | C#        |        357 |        314 |        104 |        775 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AILerp.cs                                     | C#        |        351 |        243 |        108 |        702 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIPath.cs                                     | C#        |        214 |        201 |         77 |        492 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\IAstarAI.cs                                   | C#        |         31 |        336 |         26 |        393 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\NavmeshController.cs                          | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\Seeker.cs                                     | C#        |        190 |        252 |         66 |        508 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\TurnBasedAI.cs                                | C#        |         19 |          3 |          4 |         26 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarData.cs                                     | C#        |        407 |        220 |        107 |        734 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarMath.cs                                     | C#        |        799 |        484 |        248 |      1,531 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarPath.cs                                     | C#        |        845 |      1,018 |        301 |      2,164 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateScene.cs                              | C#        |        209 |        132 |         58 |        399 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateShape.cs                              | C#        |         96 |         32 |         16 |        144 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AnimationLink.cs                            | C#        |         98 |          1 |         24 |        123 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ArrayPool.cs                                | C#        |        112 |         68 |         19 |        199 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AstarDebugger.cs                            | C#        |        226 |         35 |         77 |        338 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AutoRepathPolicy.cs                         | C#        |         45 |         41 |         15 |        101 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\BinaryHeap.cs                               | C#        |        191 |         82 |         52 |        325 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Draw.cs                                     | C#        |         71 |          1 |         20 |         92 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs                     | C#        |         80 |         10 |         16 |        106 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs                          | C#        |          7 |          2 |          2 |         11 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphModifier.cs                            | C#        |        119 |         57 |         29 |        205 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs                     | C#        |        242 |         65 |         63 |        370 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs                           | C#        |        145 |        100 |         26 |        271 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs                        | C#        |        222 |         77 |         48 |        347 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Int3.cs                                     | C#        |        220 |         32 |         63 |        315 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ListPool.cs                                 | C#        |        115 |         74 |         23 |        212 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\MovementUtilities.cs                        | C#        |         71 |         77 |         27 |        175 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink.cs                                 | C#        |        116 |         16 |         26 |        158 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink2.cs                                | C#        |        220 |         32 |         57 |        309 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink3.cs                                | C#        |        228 |         18 |         68 |        314 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ObjectPool.cs                               | C#        |         65 |         56 |         11 |        132 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs                         | C#        |        144 |         27 |         36 |        207 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathPool.cs                                 | C#        |         65 |         11 |         13 |         89 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathProcessor.cs                            | C#        |        340 |        138 |        110 |        588 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs                          | C#        |         42 |         20 |         12 |         74 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\StackPool.cs                                | C#        |         46 |         40 |         13 |         99 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs                       | C#        |        181 |         66 |         45 |        292 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs                | C#        |        111 |         15 |         23 |        149 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs                        | C#        |        167 |        129 |         43 |        339 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Nodes\GraphNode.cs                               | C#        |        330 |        385 |         97 |        812 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Path.cs                                          | C#        |        375 |        360 |        111 |        846 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\PathHandler.cs                                   | C#        |        100 |         76 |         34 |        210 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\JsonConverters.cs                  | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\JsonSerializer.cs                  | C#        |        577 |        159 |        176 |        912 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\SimpleJsonReplacement.cs           | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\SimpleZipReplacement.cs            | C#        |         62 |          0 |         18 |         80 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\TinyJson.cs                        | C#        |        383 |         30 |         54 |        467 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\astarclasses.cs                                  | C#        |        518 |        543 |        145 |      1,206 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Documentation\documentation.html                      | HTML      |     15,381 |          0 |      1,662 |     17,043 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Documentation\index.md                                | Markdown  |          6 |          0 |          2 |          8 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AIBaseEditor.cs                                | C#        |        134 |          3 |         25 |        162 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AILerpEditor.cs                                | C#        |         27 |          0 |          5 |         32 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AnimationLinkEditor.cs                         | C#        |         21 |          0 |          4 |         25 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarPathEditor.cs                             | C#        |      1,041 |        107 |        295 |      1,443 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarUpdateChecker.cs                          | C#        |        228 |         36 |         44 |        308 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarUpdateWindow.cs                           | C#        |         81 |          1 |         22 |        104 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\CustomGraphEditorAttribute.cs                  | C#        |         12 |          4 |          4 |         20 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.cginc           | ShaderLab |         51 |         19 |          8 |         78 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.shader          | ShaderLab |         89 |          2 |         28 |        119 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\NavmeshOutline.shader   | ShaderLab |         70 |          3 |         15 |         88 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\GraphEditor.cs                    | C#        |        107 |         14 |         25 |        146 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\GridGeneratorEditor.cs            | C#        |        562 |         28 |        141 |        731 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\NavMeshGeneratorEditor.cs         | C#        |         28 |          0 |         10 |         38 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\PointGeneratorEditor.cs           | C#        |         38 |          0 |         14 |         52 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphUpdateSceneEditor.cs                      | C#        |        257 |         11 |         51 |        319 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\Legacy\LegacyAIPathEditor2.cs                  | C#        |         16 |          0 |          2 |         18 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\Legacy\LegacyEditorHelper2.cs                  | C#        |         28 |          0 |          2 |         30 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ModifierEditors\RaycastModifierEditor.cs       | C#        |         29 |          0 |          6 |         35 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ModifierEditors\SmoothModifierEditor.cs        | C#        |         39 |          0 |          7 |         46 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ProceduralGridMoverEditor.cs                   | C#        |         23 |          1 |          5 |         29 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\SeekerEditor.cs                                | C#        |        116 |          4 |         22 |        142 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralWorld.cs | C#        |        175 |         52 |         55 |        282 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\AstarSmoothFollow2.cs    | C#        |         26 |          8 |          5 |         39 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DoorController.cs        | C#        |         38 |          9 |         13 |         60 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAI.cs             | C#        |         36 |         14 |          6 |         56 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAnimation.cs      | C#        |         32 |         31 |         11 |         74 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs          | C#        |         52 |         14 |         13 |         79 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\SnapToNode.cs            | C#        |         16 |          4 |          2 |         22 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs           | C#        |         51 |         15 |         12 |         78 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader   | ShaderLab |         30 |          0 |         16 |         46 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader        | ShaderLab |         26 |          0 |          0 |         26 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Base.cs                                    | C#        |        291 |        314 |         95 |        700 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\GridGenerator.cs                           | C#        |      1,157 |        741 |        345 |      2,243 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs                        | C#        |        161 |         60 |         52 |        273 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs                             | C#        |        798 |        336 |        233 |      1,367 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs                    | C#        |        241 |         57 |         64 |        362 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs                | C#        |        207 |         98 |         58 |        363 |
